country,food_category,consumption,co2_emmission,lat,lng
Chile,Wheat and Wheat Products,104.74,19.97,-35.675147,-71.542969
Chile,Rice,8.85,11.33,-35.675147,-71.542969
Chile,Soybeans,0.04,0.02,-35.675147,-71.542969
Chile,Nuts inc. Peanut Butter,2.22,3.93,-35.675147,-71.542969
Venezuela,Pork,7.23,25.59,6.42375,-66.58973
Venezuela,Poultry,39.28,42.19,6.42375,-66.58973
Venezuela,Beef,25.89,798.91,6.42375,-66.58973
Venezuela,Lamb & Goat,0.32,11.21,6.42375,-66.58973
Venezuela,Fish,8.34,13.32,6.42375,-66.58973
Venezuela,Eggs,5.63,5.17,6.42375,-66.58973
Venezuela,Milk - inc. cheese,117.79,167.78,6.42375,-66.58973
Venezuela,Wheat and Wheat Products,49.17,9.38,6.42375,-66.58973
Venezuela,Rice,23.39,29.93,6.42375,-66.58973
Venezuela,Soybeans,0,0,6.42375,-66.58973
Venezuela,Nuts inc. Peanut Butter,0.35,0.62,6.42375,-66.58973
Belgium,Pork,38.65,136.8,50.503887,4.469936
Belgium,Poultry,12.2,13.11,50.503887,4.469936
Belgium,Beef,15.63,482.31,50.503887,4.469936
Belgium,Lamb & Goat,1.32,46.23,50.503887,4.469936
Belgium,Fish,18.97,30.29,50.503887,4.469936
Belgium,Eggs,12.59,11.57,50.503887,4.469936
Belgium,Milk - inc. cheese,236.19,336.43,50.503887,4.469936
Belgium,Wheat and Wheat Products,111.91,21.34,50.503887,4.469936
Belgium,Rice,8.61,11.02,50.503887,4.469936
Belgium,Soybeans,0.07,0.03,50.503887,4.469936
Belgium,Nuts inc. Peanut Butter,7.32,12.96,50.503887,4.469936
Germany,Pork,51.81,183.38,51.165691,10.451526
Germany,Poultry,17.75,19.07,51.165691,10.451526
Germany,Beef,13.16,406.09,51.165691,10.451526
Germany,Lamb & Goat,0.73,25.56,51.165691,10.451526
Germany,Fish,11.16,17.82,51.165691,10.451526
Germany,Eggs,12.2,11.21,51.165691,10.451526
Germany,Milk - inc. cheese,258.7,368.49,51.165691,10.451526
Germany,Wheat and Wheat Products,83.41,15.91,51.165691,10.451526
Germany,Rice,3.34,4.27,51.165691,10.451526
Germany,Soybeans,0.88,0.4,51.165691,10.451526
Germany,Nuts inc. Peanut Butter,7.96,14.09,51.165691,10.451526
Russia,Pork,25.66,90.82,61.52401,105.318756
Russia,Poultry,27.5,29.54,61.52401,105.318756
Russia,Beef,16.98,523.97,61.52401,105.318756
Russia,Lamb & Goat,1.4,49.03,61.52401,105.318756
Russia,Fish,20.82,33.24,61.52401,105.318756
Russia,Eggs,15.43,14.17,61.52401,105.318756
Russia,Milk - inc. cheese,163.57,232.99,61.52401,105.318756
Russia,Wheat and Wheat Products,130.99,24.98,61.52401,105.318756
Russia,Rice,4.71,6.03,61.52401,105.318756
Russia,Soybeans,0.05,0.02,61.52401,105.318756
Russia,Nuts inc. Peanut Butter,1.62,2.87,61.52401,105.318756
Croatia,Pork,42.79,151.46,45.1,15.2
Croatia,Poultry,8.52,9.15,45.1,15.2
Croatia,Beef,12.41,382.95,45.1,15.2
Croatia,Lamb & Goat,1.71,59.88,45.1,15.2
Croatia,Fish,15.83,25.28,45.1,15.2
Croatia,Eggs,8.48,7.79,45.1,15.2
Croatia,Milk - inc. cheese,231.02,329.06,45.1,15.2
Croatia,Wheat and Wheat Products,106.59,20.33,45.1,15.2
Croatia,Rice,2.64,3.38,45.1,15.2
Croatia,Soybeans,0,0,45.1,15.2
Croatia,Nuts inc. Peanut Butter,3.88,6.87,45.1,15.2
Belarus,Pork,40.37,142.89,53.709807,27.953389
Belarus,Poultry,31.29,33.61,53.709807,27.953389
Belarus,Beef,17.11,527.98,53.709807,27.953389
Belarus,Lamb & Goat,0.11,3.85,53.709807,27.953389
Belarus,Fish,15.75,25.15,53.709807,27.953389
Belarus,Eggs,15.86,14.57,53.709807,27.953389
Belarus,Milk - inc. cheese,133.73,190.49,53.709807,27.953389
Belarus,Wheat and Wheat Products,60.48,11.53,53.709807,27.953389
Belarus,Rice,3.17,4.06,53.709807,27.953389
Belarus,Soybeans,0.3,0.14,53.709807,27.953389
Belarus,Nuts inc. Peanut Butter,3.36,5.95,53.709807,27.953389
Spain,Pork,48.92,173.15,40.463667,-3.74922
Spain,Poultry,28.63,30.75,40.463667,-3.74922
Spain,Beef,12.15,374.92,40.463667,-3.74922
Spain,Lamb & Goat,2.16,75.64,40.463667,-3.74922
Spain,Fish,28.83,46.03,40.463667,-3.74922
Spain,Eggs,13.32,12.24,40.463667,-3.74922
Spain,Milk - inc. cheese,164.29,234.01,40.463667,-3.74922
Spain,Wheat and Wheat Products,93.88,17.9,40.463667,-3.74922
Spain,Rice,8.32,10.65,40.463667,-3.74922
Spain,Soybeans,0.02,0.01,40.463667,-3.74922
Spain,Nuts inc. Peanut Butter,7.44,13.17,40.463667,-3.74922
Paraguay,Pork,26.24,92.88,-23.442503,-58.443832
Paraguay,Poultry,6.39,6.86,-23.442503,-58.443832
Paraguay,Beef,19.81,611.29,-23.442503,-58.443832
Paraguay,Lamb & Goat,0.56,19.61,-23.442503,-58.443832
